TransactionID,UserID,TransactionAmount,TransactionDate,Location,Device,IsFlaggedFraud
113,1251,20.7,2024-01-01 01:52:00,Chicago,Tablet,0
114,1701,79.4,2024-01-01 01:53:00,Seattle,Mobile,0
115,1295,4.03,2024-01-01 01:54:00,Houston,Tablet,0
116,1724,16.59,2024-01-01 01:55:00,Los Angeles,Mobile,0
117,1719,44.01,2024-01-01 01:56:00,New York,Mobile,0
118,1748,14.81,2024-01-01 01:57:00,New York,Desktop,1
119,1337,135.89,2024-01-01 01:58:00,Los Angeles,Mobile,0
120,1878,7.02,2024-01-01 01:59:00,Seattle,Mobile,0
121,1052,79.82,2024-01-01 02:00:00,Seattle,Tablet,0
122,1791,35.46,2024-01-01 02:01:00,Austin,Desktop,0
123,1921,69.38,2024-01-01 02:02:00,Los Angeles,Mobile,0
124,1216,18.61,2024-01-01 02:03:00,Seattle,Mobile,0
125,1763,36.13,2024-01-01 02:04:00,New York,Desktop,1
126,1187,97.19,2024-01-01 02:05:00,Seattle,Desktop,0
127,1379,31.45,2024-01-01 02:06:00,Chicago,Mobile,0
128,1492,22.29,2024-01-01 02:07:00,Seattle,Desktop,0
129,1040,38.41,2024-01-01 02:08:00,Austin,Mobile,0
130,1156,63.18,2024-01-01 02:09:00,San Francisco,Desktop,0
131,1014,29.31,2024-01-01 02:10:00,Houston,Desktop,0
132,1812,139.74,2024-01-01 02:11:00,San Francisco,Desktop,0
133,1064,17.47,2024-01-01 02:12:00,Chicago,Desktop,0
134,1856,32.26,2024-01-01 02:13:00,San Francisco,Desktop,0
135,1838,70.72,2024-01-01 02:14:00,Seattle,Tablet,0
136,1520,58.42,2024-01-01 02:15:00,Austin,Desktop,0
137,1343,99.62,2024-01-01 02:16:00,New York,Tablet,0
138,1128,287.37,2024-01-01 02:17:00,New York,Tablet,0
139,1647,27.83,2024-01-01 02:18:00,Chicago,Tablet,0
140,1471,5.89,2024-01-01 02:19:00,San Francisco,Desktop,0
141,1062,1.54,2024-01-01 02:20:00,Austin,Mobile,0
142,1138,64.89,2024-01-01 02:21:00,Houston,Desktop,0
143,1498,103.58,2024-01-01 02:22:00,Seattle,Desktop,0
144,1592,12.47,2024-01-01 02:23:00,San Francisco,Mobile,0
145,1391,8.63,2024-01-01 02:24:00,San Francisco,Desktop,0
146,1674,3.21,2024-01-01 02:25:00,Houston,Tablet,1
147,1418,86.5,2024-01-01 02:26:00,Los Angeles,Mobile,0
148,1288,18.65,2024-01-01 02:27:00,Seattle,Desktop,0
149,1378,25.68,2024-01-01 02:28:00,Chicago,Desktop,0
150,1772,34.93,2024-01-01 02:29:00,Seattle,Mobile,0
151,1489,91.46,2024-01-01 02:30:00,Austin,Mobile,0
152,1230,52.61,2024-01-01 02:31:00,Chicago,Mobile,0
153,1040,47.73,2024-01-01 02:32:00,Houston,Desktop,0
154,1027,9.66,2024-01-01 02:33:00,Austin,Desktop,0
155,1134,35.99,2024-01-01 02:34:00,New York,Desktop,0
156,1200,62.83,2024-01-01 02:35:00,New York,Desktop,0
157,1839,181.08,2024-01-01 02:36:00,Seattle,Desktop,0
158,1779,11.25,2024-01-01 02:37:00,Austin,Desktop,0
159,1929,0.48,2024-01-01 02:38:00,Chicago,Desktop,0
160,1032,3.91,2024-01-01 02:39:00,Chicago,Mobile,0
161,1047,23.57,2024-01-01 02:40:00,New York,Mobile,0
162,1502,85.89,2024-01-01 02:41:00,New York,Desktop,0
163,1406,0.36,2024-01-01 02:42:00,Houston,Mobile,0
164,1573,30.51,2024-01-01 02:43:00,Austin,Mobile,0
165,1727,19.97,2024-01-01 02:44:00,Chicago,Mobile,0
166,1804,2.7,2024-01-01 02:45:00,Houston,Mobile,0
167,1098,29.91,2024-01-01 02:46:00,Chicago,Desktop,0
168,1683,14.7,2024-01-01 02:47:00,New York,Desktop,0
169,1871,21.68,2024-01-01 02:48:00,Austin,Desktop,0
170,1725,61.14,2024-01-01 02:49:00,Los Angeles,Desktop,0
171,1986,36.86,2024-01-01 02:50:00,Austin,Mobile,0
172,1546,6.66,2024-01-01 02:51:00,San Francisco,Mobile,0
173,1960,162.74,2024-01-01 02:52:00,Los Angeles,Desktop,0
174,1738,50.52,2024-01-01 02:53:00,Seattle,Mobile,0
175,1612,72.59,2024-01-01 02:54:00,Seattle,Mobile,0
176,1942,4.13,2024-01-01 02:55:00,Houston,Desktop,0
177,1461,2.41,2024-01-01 02:56:00,Los Angeles,Tablet,0
178,1642,0.98,2024-01-01 02:57:00,Los Angeles,Desktop,0
179,1768,10.46,2024-01-01 02:58:00,Houston,Tablet,0
180,1004,26.76,2024-01-01 02:59:00,Austin,Desktop,0
181,1217,137.31,2024-01-01 03:00:00,Houston,Desktop,1
182,1502,30.54,2024-01-01 03:01:00,San Francisco,Mobile,0
183,1766,17.14,2024-01-01 03:02:00,New York,Tablet,0
184,1397,41.27,2024-01-01 03:03:00,Seattle,Desktop,0
185,1870,5.94,2024-01-01 03:04:00,New York,Mobile,0
186,1794,47.02,2024-01-01 03:05:00,Seattle,Mobile,0
187,1392,42.02,2024-01-01 03:06:00,Los Angeles,Desktop,0
188,1206,78.51,2024-01-01 03:07:00,Houston,Desktop,0
189,1014,215.95,2024-01-01 03:08:00,Houston,Desktop,1
190,1857,14.44,2024-01-01 03:09:00,Houston,Desktop,0
191,1553,35.63,2024-01-01 03:10:00,San Francisco,Mobile,0
192,1891,119.77,2024-01-01 03:11:00,San Francisco,Tablet,0
193,1460,76.9,2024-01-01 03:12:00,Austin,Mobile,0
194,1690,33.41,2024-01-01 03:13:00,Chicago,Tablet,0
195,1574,145.36,2024-01-01 03:14:00,Seattle,Desktop,1
196,1863,2.95,2024-01-01 03:15:00,Chicago,Desktop,0
197,1742,133.68,2024-01-01 03:16:00,Chicago,Mobile,0
198,1240,2.59,2024-01-01 03:17:00,Seattle,Mobile,0
199,1563,39.63,2024-01-01 03:18:00,Austin,Desktop,0
200,1095,110.56,2024-01-01 03:19:00,Houston,Desktop,0
201,1899,15.24,2024-01-01 03:20:00,Chicago,Mobile,0
202,1733,31.96,2024-01-01 03:21:00,Houston,Desktop,0
203,1484,19.6,2024-01-01 03:22:00,Los Angeles,Desktop,0
204,1406,151.98,2024-01-01 03:23:00,Chicago,Mobile,0
205,1230,86.76,2024-01-01 03:24:00,Los Angeles,Tablet,0
206,1748,61.72,2024-01-01 03:25:00,Austin,Mobile,0
207,1654,44.29,2024-01-01 03:26:00,New York,Mobile,0
208,1170,85.9,2024-01-01 03:27:00,San Francisco,Desktop,0
209,1540,24.9,2024-01-01 03:28:00,Seattle,Mobile,0
210,1035,29.67,2024-01-01 03:29:00,Austin,Desktop,0
211,1524,65.47,2024-01-01 03:30:00,Austin,Tablet,0
212,1159,22.14,2024-01-01 03:31:00,Austin,Desktop,0
213,1838,3.3,2024-01-01 03:32:00,Chicago,Mobile,0
214,1698,3.86,2024-01-01 03:33:00,Los Angeles,Mobile,0
215,1242,6.13,2024-01-01 03:34:00,San Francisco,Desktop,1
216,1085,101.89,2024-01-01 03:35:00,Chicago,Tablet,0
217,1795,31.95,2024-01-01 03:36:00,New York,Desktop,0
218,1577,62.39,2024-01-01 03:37:00,Seattle,Desktop,0
219,1681,24.95,2024-01-01 03:38:00,Seattle,Desktop,0
220,1556,14.97,2024-01-01 03:39:00,San Francisco,Mobile,0
221,1573,21.32,2024-01-01 03:40:00,Seattle,Mobile,0
222,1952,79.04,2024-01-01 03:41:00,Seattle,Desktop,0
223,1645,49.07,2024-01-01 03:42:00,Austin,Desktop,0
224,1795,138.74,2024-01-01 03:43:00,Houston,Tablet,0
225,1027,56.93,2024-01-01 03:44:00,New York,Desktop,0
226,1619,42.22,2024-01-01 03:45:00,Los Angeles,Mobile,0
227,1555,47.11,2024-01-01 03:46:00,New York,Mobile,0
228,1339,142.69,2024-01-01 03:47:00,Chicago,Mobile,0
229,1797,77.61,2024-01-01 03:48:00,Seattle,Mobile,1
230,1957,1.22,2024-01-01 03:49:00,Houston,Desktop,0
231,1330,38.19,2024-01-01 03:50:00,Chicago,Tablet,0
232,1639,58.29,2024-01-01 03:51:00,San Francisco,Desktop,0
233,1505,69.06,2024-01-01 03:52:00,Austin,Desktop,0
234,1347,11.99,2024-01-01 03:53:00,Seattle,Desktop,0
235,1472,100.94,2024-01-01 03:54:00,Austin,Tablet,1
236,1230,156.0,2024-01-01 03:55:00,New York,Mobile,1
237,1189,13.51,2024-01-01 03:56:00,Austin,Desktop,0
238,1224,107.12,2024-01-01 03:57:00,Austin,Mobile,0
239,1384,5.1,2024-01-01 03:58:00,San Francisco,Desktop,1
240,1376,2.87,2024-01-01 03:59:00,Los Angeles,Tablet,0
241,1282,6.92,2024-01-01 04:00:00,Los Angeles,Desktop,0
242,1957,2.97,2024-01-01 04:01:00,Chicago,Mobile,0
243,1632,93.22,2024-01-01 04:02:00,Seattle,Mobile,0
244,1627,3.04,2024-01-01 04:03:00,Chicago,Desktop,0
245,1972,15.85,2024-01-01 04:04:00,Los Angeles,Mobile,0
246,1744,5.48,2024-01-01 04:05:00,New York,Desktop,0
247,1258,17.51,2024-01-01 04:06:00,Los Angeles,Mobile,0
248,1358,4.75,2024-01-01 04:07:00,Chicago,Mobile,0
249,1709,55.13,2024-01-01 04:08:00,Houston,Mobile,0
250,1455,7.15,2024-01-01 04:09:00,Seattle,Desktop,0
251,1410,95.48,2024-01-01 04:10:00,Austin,Tablet,0
252,1648,84.97,2024-01-01 04:11:00,San Francisco,Desktop,0
253,1317,0.69,2024-01-01 04:12:00,Houston,Mobile,0
254,1676,113.04,2024-01-01 04:13:00,Houston,Mobile,0
255,1224,1.47,2024-01-01 04:14:00,Austin,Tablet,0
256,1818,13.7,2024-01-01 04:15:00,Los Angeles,Mobile,0
257,1233,1.65,2024-01-01 04:16:00,Seattle,Desktop,1
258,1683,20.46,2024-01-01 04:17:00,New York,Mobile,0
259,1663,36.06,2024-01-01 04:18:00,Houston,Desktop,0
260,1974,79.64,2024-01-01 04:19:00,New York,Desktop,0
261,1826,20.62,2024-01-01 04:20:00,San Francisco,Tablet,0
262,1373,61.12,2024-01-01 04:21:00,San Francisco,Mobile,0
263,1671,10.38,2024-01-01 04:22:00,San Francisco,Desktop,0
264,1607,69.43,2024-01-01 04:23:00,Chicago,Mobile,0
265,1471,13.46,2024-01-01 04:24:00,Houston,Desktop,0
266,1232,7.75,2024-01-01 04:25:00,San Francisco,Desktop,1
267,1691,10.25,2024-01-01 04:26:00,Chicago,Desktop,0
268,1112,10.05,2024-01-01 04:27:00,San Francisco,Mobile,1
269,1829,35.96,2024-01-01 04:28:00,Los Angeles,Mobile,0
270,1496,93.15,2024-01-01 04:29:00,Houston,Mobile,0
271,1441,4.15,2024-01-01 04:30:00,Chicago,Desktop,0
272,1563,61.37,2024-01-01 04:31:00,San Francisco,Mobile,1
273,1267,53.12,2024-01-01 04:32:00,Seattle,Desktop,0
274,1509,102.99,2024-01-01 04:33:00,Chicago,Mobile,0
275,1806,14.0,2024-01-01 04:34:00,San Francisco,Mobile,0
276,1385,29.9,2024-01-01 04:35:00,Los Angeles,Desktop,0
277,1386,130.07,2024-01-01 04:36:00,New York,Mobile,0
278,1112,53.94,2024-01-01 04:37:00,San Francisco,Tablet,0
279,1612,24.61,2024-01-01 04:38:00,New York,Desktop,0
280,1624,7.04,2024-01-01 04:39:00,Houston,Mobile,0
281,1951,15.22,2024-01-01 04:40:00,Los Angeles,Mobile,0
282,1080,43.52,2024-01-01 04:41:00,Seattle,Desktop,0
283,1698,63.32,2024-01-01 04:42:00,Houston,Mobile,0
284,1112,6.64,2024-01-01 04:43:00,Seattle,Mobile,0
285,1001,45.76,2024-01-01 04:44:00,New York,Desktop,0
286,1641,39.96,2024-01-01 04:45:00,Los Angeles,Desktop,0
287,1219,36.07,2024-01-01 04:46:00,Austin,Tablet,0
288,1565,58.58,2024-01-01 04:47:00,Los Angeles,Mobile,0
289,1854,90.84,2024-01-01 04:48:00,Los Angeles,Desktop,0
290,1996,19.5,2024-01-01 04:49:00,Seattle,Desktop,0
291,1735,109.92,2024-01-01 04:50:00,Austin,Mobile,0
292,1224,8.76,2024-01-01 04:51:00,Chicago,Desktop,0
293,1384,9.5,2024-01-01 04:52:00,Chicago,Desktop,0
294,1402,15.51,2024-01-01 04:53:00,Chicago,Mobile,0
295,1637,6.37,2024-01-01 04:54:00,New York,Mobile,0
296,1129,13.09,2024-01-01 04:55:00,Los Angeles,Desktop,0
297,1052,5.63,2024-01-01 04:56:00,San Francisco,Desktop,0
298,1683,86.23,2024-01-01 04:57:00,Austin,Desktop,0
299,1729,7.48,2024-01-01 04:58:00,San Francisco,Desktop,0
300,1671,68.78,2024-01-01 04:59:00,New York,Desktop,0
301,1709,2.45,2024-01-01 05:00:00,Austin,Desktop,0
302,1415,148.33,2024-01-01 05:01:00,San Francisco,Desktop,0
303,1246,62.09,2024-01-01 05:02:00,Seattle,Desktop,0
304,1835,0.34,2024-01-01 05:03:00,New York,Tablet,0
305,1438,72.17,2024-01-01 05:04:00,New York,Desktop,0
306,1202,36.09,2024-01-01 05:05:00,New York,Desktop,0
307,1183,75.56,2024-01-01 05:06:00,Austin,Desktop,0
308,1122,36.96,2024-01-01 05:07:00,San Francisco,Desktop,0
309,1400,51.23,2024-01-01 05:08:00,San Francisco,Mobile,1
310,1766,77.17,2024-01-01 05:09:00,Houston,Desktop,0
311,1293,25.97,2024-01-01 05:10:00,New York,Mobile,0
312,1279,0.14,2024-01-01 05:11:00,Chicago,Desktop,0
313,1836,94.84,2024-01-01 05:12:00,Los Angeles,Mobile,0
314,1883,23.97,2024-01-01 05:13:00,Seattle,Desktop,0
315,1609,34.26,2024-01-01 05:14:00,Seattle,Desktop,0
316,1197,0.39,2024-01-01 05:15:00,Houston,Desktop,0
317,1981,33.87,2024-01-01 05:16:00,Houston,Desktop,0
318,1906,215.21,2024-01-01 05:17:00,Austin,Mobile,0
319,1510,16.31,2024-01-01 05:18:00,Houston,Desktop,0
320,1751,25.16,2024-01-01 05:19:00,San Francisco,Mobile,0
321,1143,58.11,2024-01-01 05:20:00,Austin,Desktop,0
322,1608,84.31,2024-01-01 05:21:00,Austin,Desktop,0
323,1200,27.01,2024-01-01 05:22:00,Seattle,Desktop,0
324,1123,18.53,2024-01-01 05:23:00,Seattle,Mobile,0
325,1186,138.89,2024-01-01 05:24:00,Chicago,Desktop,0
326,1325,56.53,2024-01-01 05:25:00,New York,Desktop,0
327,1463,6.34,2024-01-01 05:26:00,Houston,Desktop,0
328,1348,3.57,2024-01-01 05:27:00,New York,Mobile,0
329,1770,33.04,2024-01-01 05:28:00,New York,Mobile,0
330,1659,12.43,2024-01-01 05:29:00,New York,Desktop,0
331,1763,14.65,2024-01-01 05:30:00,Austin,Desktop,0
332,1954,105.06,2024-01-01 05:31:00,New York,Desktop,0
333,1931,4.69,2024-01-01 05:32:00,Houston,Desktop,0
334,1402,62.83,2024-01-01 05:33:00,Austin,Mobile,0
335,1345,15.81,2024-01-01 05:34:00,Houston,Desktop,0
336,1962,71.42,2024-01-01 05:35:00,Austin,Desktop,0
337,1510,64.08,2024-01-01 05:36:00,Los Angeles,Mobile,0
338,1146,0.37,2024-01-01 05:37:00,Los Angeles,Desktop,0
339,1147,35.58,2024-01-01 05:38:00,Los Angeles,Desktop,0
340,1863,7.5,2024-01-01 05:39:00,Los Angeles,Desktop,0
341,1710,100.58,2024-01-01 05:40:00,Austin,Desktop,0
342,1819,102.62,2024-01-01 05:41:00,New York,Mobile,0
343,1488,27.09,2024-01-01 05:42:00,Chicago,Mobile,0
344,1928,29.38,2024-01-01 05:43:00,Seattle,Desktop,0
345,1935,18.07,2024-01-01 05:44:00,San Francisco,Desktop,0
346,1639,63.05,2024-01-01 05:45:00,Chicago,Desktop,0
347,1550,22.21,2024-01-01 05:46:00,Los Angeles,Desktop,0
348,1337,15.58,2024-01-01 05:47:00,New York,Tablet,0
349,1871,28.3,2024-01-01 05:48:00,Houston,Desktop,0
350,1640,4.8,2024-01-01 05:49:00,New York,Mobile,0
351,1778,68.64,2024-01-01 05:50:00,Houston,Mobile,0
352,1987,0.63,2024-01-01 05:51:00,Chicago,Mobile,0
353,1952,51.71,2024-01-01 05:52:00,New York,Mobile,0
354,1472,10.1,2024-01-01 05:53:00,New York,Mobile,0
355,1945,13.22,2024-01-01 05:54:00,San Francisco,Mobile,0
356,1150,50.48,2024-01-01 05:55:00,Chicago,Mobile,0
357,1414,247.69,2024-01-01 05:56:00,New York,Desktop,0
358,1989,75.19,2024-01-01 05:57:00,Houston,Tablet,0
359,1297,12.8,2024-01-01 05:58:00,Seattle,Mobile,0
360,1610,9.68,2024-01-01 05:59:00,New York,Desktop,0
361,1262,100.58,2024-01-01 06:00:00,Houston,Tablet,0
362,1763,29.37,2024-01-01 06:01:00,Los Angeles,Mobile,0
363,1143,7.37,2024-01-01 06:02:00,New York,Mobile,0
364,1345,99.1,2024-01-01 06:03:00,Houston,Desktop,0
365,1623,84.67,2024-01-01 06:04:00,Seattle,Tablet,0
366,1571,206.47,2024-01-01 06:05:00,Chicago,Mobile,1
367,1880,120.26,2024-01-01 06:06:00,Los Angeles,Mobile,1
368,1001,95.46,2024-01-01 06:07:00,New York,Tablet,0
369,1896,2.7,2024-01-01 06:08:00,San Francisco,Desktop,1
370,1303,5.51,2024-01-01 06:09:00,Houston,Desktop,0
371,1253,42.08,2024-01-01 06:10:00,Seattle,Mobile,0
372,1651,37.91,2024-01-01 06:11:00,San Francisco,Desktop,0
373,1452,30.62,2024-01-01 06:12:00,New York,Mobile,0
374,1036,25.27,2024-01-01 06:13:00,Houston,Desktop,0
375,1159,28.21,2024-01-01 06:14:00,New York,Desktop,0
376,1008,42.12,2024-01-01 06:15:00,Los Angeles,Desktop,0
377,1232,0.1,2024-01-01 06:16:00,Seattle,Desktop,0
378,1098,15.1,2024-01-01 06:17:00,Seattle,Desktop,0
379,1658,36.52,2024-01-01 06:18:00,Los Angeles,Desktop,0
380,1815,64.05,2024-01-01 06:19:00,New York,Desktop,0
381,1207,9.57,2024-01-01 06:20:00,New York,Mobile,0
382,1130,39.58,2024-01-01 06:21:00,Austin,Mobile,0
383,1403,62.67,2024-01-01 06:22:00,New York,Desktop,0
384,1151,29.41,2024-01-01 06:23:00,Seattle,Mobile,0
385,1053,1.37,2024-01-01 06:24:00,New York,Desktop,0
386,1119,29.83,2024-01-01 06:25:00,San Francisco,Desktop,0
387,1672,17.58,2024-01-01 06:26:00,San Francisco,Tablet,0
388,1919,132.71,2024-01-01 06:27:00,Los Angeles,Desktop,0
389,1627,6.65,2024-01-01 06:28:00,San Francisco,Desktop,0
390,1586,52.85,2024-01-01 06:29:00,New York,Desktop,0
391,1624,2.71,2024-01-01 06:30:00,Chicago,Tablet,0
392,1967,29.54,2024-01-01 06:31:00,New York,Desktop,0
393,1419,40.37,2024-01-01 06:32:00,Seattle,Mobile,0
394,1421,17.69,2024-01-01 06:33:00,Austin,Desktop,0
395,1103,30.36,2024-01-01 06:34:00,Houston,Desktop,0
396,1851,8.93,2024-01-01 06:35:00,Seattle,Mobile,0
397,1253,18.13,2024-01-01 06:36:00,Los Angeles,Desktop,0
398,1226,48.52,2024-01-01 06:37:00,San Francisco,Mobile,0
399,1111,17.96,2024-01-01 06:38:00,Chicago,Mobile,0
400,1509,115.0,2024-01-01 06:39:00,Seattle,Desktop,1
401,1472,49.5,2024-01-01 06:40:00,Houston,Desktop,0
402,1098,28.87,2024-01-01 06:41:00,Chicago,Mobile,0
403,1152,1.98,2024-01-01 06:42:00,Los Angeles,Desktop,0
404,1860,34.61,2024-01-01 06:43:00,San Francisco,Desktop,0
405,1913,72.36,2024-01-01 06:44:00,Austin,Desktop,0
406,1895,15.43,2024-01-01 06:45:00,Seattle,Mobile,0
407,1877,82.19,2024-01-01 06:46:00,Seattle,Mobile,0
408,1337,14.5,2024-01-01 06:47:00,Seattle,Mobile,0
409,1705,86.79,2024-01-01 06:48:00,Los Angeles,Desktop,0
410,1821,4.46,2024-01-01 06:49:00,Chicago,Mobile,0
411,1162,100.56,2024-01-01 06:50:00,Chicago,Desktop,0
